counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/build/knockout-raw.js,8,0,34,5,
2,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/spec/dependentObservableBehaviors.js,564,12,567,17,
3,-,UNNAMED,1,0,false,./src/init/resources/knockout-master/spec/dependentObservableBehaviors.js,270,8,274,13,
4,-,UNNAMED,0,0,true,./src/init/resources/knockout-master/spec/lib/innershiv.js,2,0,39,4,
5,memoizeFocusedSpec,NAMED,0,0,false,./src/init/resources/knockout-master/spec/lib/jasmine-1.2.0/jasmine-html.js,128,4,142,9,
6,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/spec/lib/jasmine-1.2.0/jasmine-tap.js,4,0,98,5,
7,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/spec/lib/jasmine-1.2.0/jasmine.js,1729,0,1751,5,
8,-,UNNAMED,1,1,true,./src/init/resources/knockout-master/spec/lib/jasmine-1.2.0/jasmine.js,1740,4,1749,21,
9,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/spec/lib/json2.js,166,0,482,5,
10,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/spec/lib/loadDependencies.js,1,0,56,5,
11,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/src/binding/bindingAttributeSyntax.js,1,0,608,5,
12,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/src/binding/bindingProvider.js,1,0,71,5,
13,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/src/binding/defaultBindings/checked.js,1,0,130,5,
14,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/src/binding/defaultBindings/ifIfnotWith.js,1,0,81,5,
15,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/src/binding/defaultBindings/textInput.js,1,0,203,5,
16,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/src/binding/editDetection/arrayToDomNodeChildren.js,1,0,235,5,
17,-,UNNAMED,0,0,true,./src/init/resources/knockout-master/src/binding/editDetection/compareArrays.js,20,0,100,5,
18,-,UNNAMED,0,0,true,./src/init/resources/knockout-master/src/binding/expressionRewriting.js,1,0,191,5,
19,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/src/binding/selectExtensions.js,1,0,74,5,
20,-,UNNAMED,0,1,false,./src/init/resources/knockout-master/src/components/componentBinding.js,1,0,105,5,
21,-,UNNAMED,0,1,false,./src/init/resources/knockout-master/src/components/customElements.js,1,0,115,5,
22,-,UNNAMED,1,1,true,./src/init/resources/knockout-master/src/components/customElements.js,93,8,98,38,
23,-,UNNAMED,1,1,true,./src/init/resources/knockout-master/src/components/customElements.js,102,8,113,44,
24,-,UNNAMED,0,1,false,./src/init/resources/knockout-master/src/components/defaultLoader.js,1,0,226,5,
25,-,UNNAMED,0,1,false,./src/init/resources/knockout-master/src/components/loaderRegistry.js,1,0,142,5,
26,-,UNNAMED,0,0,true,./src/init/resources/knockout-master/src/memoization.js,1,0,63,5,
27,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/src/subscribables/mappingHelpers.js,1,0,92,5,
28,-,UNNAMED,0,0,true,./src/init/resources/knockout-master/src/tasks.js,1,0,103,5,
29,-,UNNAMED,1,1,true,./src/init/resources/knockout-master/src/tasks.js,11,8,15,29,
30,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/src/templating/jquery.tmpl/jqueryTmplTemplateEngine.js,1,0,84,5,
31,-,UNNAMED,0,0,true,./src/init/resources/knockout-master/src/templating/templateRewriting.js,1,0,61,5,
32,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/src/templating/templateSources.js,1,0,134,5,
33,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/src/templating/templating.js,1,0,351,5,
34,-,UNNAMED,0,0,true,./src/init/resources/knockout-master/src/utils.domData.js,1,0,70,5,
35,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/src/utils.domManipulation.js,1,0,131,5,
36,-,UNNAMED,0,0,true,./src/init/resources/knockout-master/src/utils.domNodeDisposal.js,1,0,98,5,
37,-,UNNAMED,0,0,true,./src/init/resources/knockout-master/src/utils.js,1,0,595,5,
38,-,UNNAMED,0,0,false,./src/init/resources/knockout-master/src/virtualElements.js,1,0,217,5,
